id,qr_code_uid,qr_code_name
1755,2017/01/20/1zkksq2or9_Smith_district_1755.png,Smith_district_1755.png
1756,2017/01/20/waw3qsoi2_Smith_district_1756.png,Smith_district_1756.png
1758,2017/01/20/1t6te3y54m_Smith_district_1758.png,Smith_district_1758.png
1759,2017/01/20/2i9apd7lst_Stefanik_district_1759.png,Stefanik_district_1759.png
1761,2017/01/20/6ezw0jqbap_Stefanik_district_1761.png,Stefanik_district_1761.png
1762,2017/01/20/9a07it9skd_Sasse_district_1762.png,Sasse_district_1762.png
1764,2017/01/20/1zmq38hxir_Sasse_district_1764.png,Sasse_district_1764.png
1767,2017/01/20/90wyfxlm23_Sullivan_district_1767.png,Sullivan_district_1767.png
1768,2017/01/20/8071dgd1o_Sullivan_district_1768.png,Sullivan_district_1768.png
1770,2017/01/20/66vyqcyo3f_Sullivan_district_1770.png,Sullivan_district_1770.png
1771,2017/01/20/1mz3y63iys_Sullivan_district_1771.png,Sullivan_district_1771.png
1773,2017/01/20/1zi3iynlx6_Soto_district_1773.png,Soto_district_1773.png
1776,2017/01/20/6e8jionw1k_Thompson_district_1776.png,Thompson_district_1776.png
1778,2017/01/20/3vxuz64lsm_Thompson_district_1778.png,Thompson_district_1778.png
1779,2017/01/20/6h6dp31znc_Thompson_district_1779.png,Thompson_district_1779.png
1782,2017/01/20/8u8xuzby1k_Thornberry_district_1782.png,Thornberry_district_1782.png
1784,2017/01/20/5ojoeq53s_Thune_district_1784.png,Thune_district_1784.png
1785,2017/01/20/3axy7lld37_Thune_district_1785.png,Thune_district_1785.png
1787,2017/01/20/3lo8tc0ku4_Thompson_district_1787.png,Thompson_district_1787.png
1788,2017/01/20/3orbpvc9tx_Thompson_district_1788.png,Thompson_district_1788.png
1790,2017/01/20/7biy8k94pd_Tiberi_district_1790.png,Tiberi_district_1790.png
1793,2017/01/20/7relf5o4a1_Tester_district_1793.png,Tester_district_1793.png
1794,2017/01/20/7ayd3vcy7a_Tester_district_1794.png,Tester_district_1794.png
1796,2017/01/20/ddwhh43b5_Tester_district_1796.png,Tester_district_1796.png
1797,2017/01/20/570v5h0pfy_Tester_district_1797.png,Tester_district_1797.png
1800,2017/01/20/89nyqgbn98_Tsongas_district_1800.png,Tsongas_district_1800.png
1801,2017/01/20/8ayaz1x4iy_Tsongas_district_1801.png,Tsongas_district_1801.png
1803,2017/01/20/3yq37rqsg0_Tsongas_district_1803.png,Tsongas_district_1803.png
1806,2017/01/20/7g3vlyufj8_Thompson_district_1806.png,Thompson_district_1806.png
1808,2017/01/20/8k80m5om0x_Tonko_district_1808.png,Tonko_district_1808.png
1809,2017/01/20/9btplu7li7_Tonko_district_1809.png,Tonko_district_1809.png
1811,2017/01/20/6onr01dgof_Tipton_district_1811.png,Tipton_district_1811.png
1812,2017/01/20/1kxupv14ae_Tipton_district_1812.png,Tipton_district_1812.png
1814,2017/01/20/ucxa0r1qi_Tipton_district_1814.png,Tipton_district_1814.png
1817,2017/01/20/2liujqv7f7_Trott_district_1817.png,Trott_district_1817.png
1819,2017/01/20/776pgahmci_Tillis_district_1819.png,Tillis_district_1819.png
