member_full,office_locations,state_and_district,name,last_name,first_name,middle_name,suffix,party,capitol_address,capitol_city,capitol_state,capitol_zip,bioguide_id,office_location_ids
"SC03 Jeff Duncan, R",,SC03,Jeff Duncan,Duncan,Jeff,,,R,2229 Rayburn House Office Building,Washington,DC,20515-4003,D000615,
"SC04 Trey Gowdy, R",,SC04,Trey Gowdy,Gowdy,Trey,,,R,2418 Rayburn House Office Building,Washington,DC,20515-4004,G000566,
"SC05 Mick Mulvaney, R",,SC05,Mick Mulvaney,Mulvaney,Mick,,,R,2350 Rayburn House Office Building,Washington,DC,20515-4005,M001182,
"SC06 James E. Clyburn, D",,SC06,James E. Clyburn,Clyburn,James,E.,,D,242 Cannon House Office Building,Washington,DC,20515-4006,C000537,
"SC07 Tom Rice, R",,SC07,Tom Rice,Rice,Tom,,,R,223 Cannon House Office Building,Washington,DC,20515-4007,R000597,
"SD00 Kristi L. Noem, R",,SD00,Kristi L. Noem,Noem,Kristi,L.,,R,2457 Rayburn House Office Building,Washington,DC,20515-4100,N000184,
"TN01 David P. Roe, R",,TN01,David P. Roe,Roe,David,P.,,R,336 Cannon House Office Building,Washington,DC,20515-4201,R000582,
"TN02 John J. Duncan, Jr., R",,TN02,"John J. Duncan, Jr.",Duncan,John,J.,Jr.,R,2207 Rayburn House Office Building,Washington,DC,20515-4202,D000533,
"TN03 Charles J. ""Chuck"" Fleischmann, R",,TN03,"Charles J. ""Chuck"" Fleischmann",Fleischmann,Charles,"J. ""Chuck""",,R,2410 Rayburn House Office Building,Washington,DC,20515-4203,F000459,
"TN04 Scott DesJarlais, R",,TN04,Scott DesJarlais,DesJarlais,Scott,,,R,2301 Rayburn House Office Building,Washington,DC,20515-4204,D000616,
"TN05 Jim Cooper, D",,TN05,Jim Cooper,Cooper,Jim,,,D,1536 Longworth House Office Building,Washington,DC,20515-4205,C000754,
"TN06 Diane Black, R",,TN06,Diane Black,Black,Diane,,,R,1131 Longworth House Office Building,Washington,DC,20515-4206,B001273,
"TN07 Marsha Blackburn, R",,TN07,Marsha Blackburn,Blackburn,Marsha,,,R,2266 Rayburn House Office Building,Washington,DC,20515-4207,B001243,
"TN08 David Kustoff, R",,TN08,David Kustoff,Kustoff,David,,,R,508 Cannon House Office Building,Washington,DC,20515-4208,K000392,
"TN09 Steve Cohen, D",,TN09,Steve Cohen,Cohen,Steve,,,D,2404 Rayburn House Office Building,Washington,DC,20515-4209,C001068,
"TX01 Louie Gohmert, R",,TX01,Louie Gohmert,Gohmert,Louie,,,R,2243 Rayburn House Office Building,Washington,DC,20515-4301,G000552,
"TX02 Ted Poe, R",,TX02,Ted Poe,Poe,Ted,,,R,2132 Rayburn House Office Building,Washington,DC,20515-4302,P000592,
"TX03 Sam Johnson, R",,TX03,Sam Johnson,Johnson,Sam,,,R,2304 Rayburn House Office Building,Washington,DC,20515-4303,J000174,
"TX04 John Ratcliffe, R",,TX04,John Ratcliffe,Ratcliffe,John,,,R,325 Cannon House Office Building,Washington,DC,20515-4304,R000601,
"TX05 Jeb Hensarling, R",,TX05,Jeb Hensarling,Hensarling,Jeb,,,R,2228 Rayburn House Office Building,Washington,DC,20515-4305,H001036,
"TX06 Joe Barton, R",,TX06,Joe Barton,Barton,Joe,,,R,2107 Rayburn House Office Building,Washington,DC,20515-4306,B000213,
"TX07 John Abney Culberson, R",,TX07,John Abney Culberson,Culberson,John,Abney,,R,2161 Rayburn House Office Building,Washington,DC,20515-4307,C001048,
"TX08 Kevin Brady, R",,TX08,Kevin Brady,Brady,Kevin,,,R,1011 Longworth House Office Building,Washington,DC,20515-4308,B000755,
"TX09 Al Green, D",,TX09,Al Green,Green,Al,,,D,2347 Rayburn House Office Building,Washington,DC,20515-4309,G000553,
"TX10 Michael T. McCaul, R",,TX10,Michael T. McCaul,McCaul,Michael,T.,,R,2001 Rayburn House Office Building,Washington,DC,20515-4310,M001157,
"TX11 K. Michael Conaway, R",,TX11,K. Michael Conaway,Conaway,K.,Michael,,R,2430 Rayburn House Office Building,Washington,DC,20515-4311,C001062,
"TX12 Kay Granger, R",,TX12,Kay Granger,Granger,Kay,,,R,1026 Longworth House Office Building,Washington,DC,20515-4312,G000377,
"TX13 Mac Thornberry, R",,TX13,Mac Thornberry,Thornberry,Mac,,,R,2208 Rayburn House Office Building,Washington,DC,20515-4313,T000238,
"TX14 Randy K. Weber, Sr., R",,TX14,"Randy K. Weber, Sr.",Weber,Randy,K.,Sr.,R,1708 Longworth House Office Building,Washington,DC,20515-4314,W000814,
"TX15 Vicente Gonzalez, D",,TX15,Vicente Gonzalez,Gonzalez,Vicente,,,D,113 Cannon House Office Building,Washington,DC,20515-4315,G000581,
"TX16 Beto O'Rourke, D",,TX16,Beto O'Rourke,O'Rourke,Beto,,,D,1330 Longworth House Office Building,Washington,DC,20515-4316,O000170,
"TX17 Bill Flores, R",,TX17,Bill Flores,Flores,Bill,,,R,2440 Rayburn House Office Building,Washington,DC,20515-4317,F000461,
"TX18 Sheila Jackson Lee, D",,TX18,Sheila Jackson Lee,Jackson Lee,Sheila,,,D,2187 Rayburn House Office Building,Washington,DC,20515-4318,J000032,
"TX19 Jodey C. Arrington, R",,TX19,Jodey C. Arrington,Arrington,Jodey,C.,,R,1029 Longworth House Office Building,Washington,DC,20515-4319,A000375,
"TX20 Joaquin Castro, D",,TX20,Joaquin Castro,Castro,Joaquin,,,D,1221 Longworth House Office Building,Washington,DC,20515-4320,C001091,
"TX21 Lamar Smith, R",,TX21,Lamar Smith,Smith,Lamar,,,R,2409 Rayburn House Office Building,Washington,DC,20515-4321,S000583,
"TX22 Pete Olson, R",,TX22,Pete Olson,Olson,Pete,,,R,2133 Rayburn House Office Building,Washington,DC,20515-4322,O000168,
"TX23 Will Hurd, R",,TX23,Will Hurd,Hurd,Will,,,R,317 Cannon House Office Building,Washington,DC,20515-4323,H001073,
"TX24 Kenny Marchant, R",,TX24,Kenny Marchant,Marchant,Kenny,,,R,2369 Rayburn House Office Building,Washington,DC,20515-4324,M001158,
"TX25 Roger Williams, R",,TX25,Roger Williams,Williams,Roger,,,R,1323 Longworth House Office Building,Washington,DC,20515-4325,W000816,
"TX26 Michael C. Burgess, R",,TX26,Michael C. Burgess,Burgess,Michael,C.,,R,2336 Rayburn House Office Building,Washington,DC,20515-4326,B001248,
